piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-0.00039096,-0.000716,-0.0051132,-7.5236e-06,-0.0060954,0.00098975,-0.0011461,-0.0030716,-2.7919e-05,0,-3.014e-05,0.0014919,0.00495,0.00047772,-0.0015752,0.0031282,-0.0015248,-0.0040601,-3.605e-05,0,0,0,0.01,0,0,0
-0.00023362,-0.00043326,-0.0016669,4.1568e-05,-0.0032281,0.0015196,-0.00027864,-0.0019234,-4.8246e-06,0,-5.222e-05,0.0025849,0.0043896,0.0007668,-0.00086409,0.0035246,-0.0018956,-0.0066025,-4.2279e-05,0,0,0,0.009,0,0,0
-0.00012349,-0.00024129,0.00066164,7.1268e-05,-0.001248,0.0018384,-7.9319e-05,-0.0011167,1.0983e-05,0,-6.8147e-05,0.0033733,0.0039265,0.00092779,-0.00036053,0.0037109,-0.0020011,-0.0080786,-2.8097e-05,0,0,0,0.0081,0,0,0
-4.7668e-05,-0.00010921,0.0021898,8.8771e-05,9.3984e-05,0.002007,1.2986e-05,-0.00055671,2.1248e-05,0,-7.9361e-05,0.0039284,0.0035378,0.0010007,-8.335e-06,0.0037519,-0.0019838,-0.0088145,-6.6184e-07,0,0,0,0.00729,0,0,0
3.3142e-06,-1.9716e-05,0.0031465,9.7901e-05,0.0009788,0.0020698,6.7304e-05,-0.00017416,2.7335e-05,0,-8.6959e-05,0.0043045,0.003207,0.0010138,0.00023352,0.003694,-0.0018943,-0.0090447,3.4634e-05,0,0,0,0.006561,0,0,0
3.6411e-05,3.9273e-05,0.0036984,0.00010128,0.001538,0.0020592,9.8962e-05,8.131e-05,3.0324e-05,0,-9.1777e-05,0.004543,0.0029214,0.00098761,0.00039518,0.0035709,-0.0017626,-0.0089372,7.3788e-05,0,0,0,0.0059049,0,0,0
5.6731e-05,7.6529e-05,0.003967,0.00010078,0.0018672,0.001999,0.00011544,0.00024629,3.1058e-05,0,-9.4458e-05,0.0046757,0.0026718,0.00093654,0.00049877,0.0034064,-0.001609,-0.0086117,0.00011389,0,0,0,0.0053144,0,0,0
6.8021e-05,9.8433e-05,0.0040401,9.7728e-05,0.0020356,0.0019068,0.0001217,0.00034733,3.0197e-05,0,-9.5497e-05,0.0047271,0.0024512,0.00087087,0.00056055,0.0032178,-0.0014471,-0.0081526,0.00015288,0,0,0,0.004783,0,0,0
7.3017e-05,0.00010962,0.0039813,9.3083e-05,0.0020932,0.0017949,0.00012125,0.00040362,2.8248e-05,0,-9.5277e-05,0.0047162,0.0022544,0.00079773,0.00059244,0.0030172,-0.0012858,-0.007619,0.00018935,0,0,0,0.0043047,0,0,0
7.3712e-05,0.00011344,0.0038363,8.751e-05,0.0020761,0.0016726,0.00011654,0.00042902,2.5599e-05,0,-9.4096e-05,0.0046578,0.0020773,0.00072204,0.00060319,0.002813,-0.0011307,-0.0070519,0.00022241,0,0,0,0.0038742,0,0,0
7.1551e-05,0.00011233,0.0036378,8.1477e-05,0.0020101,0.0015462,0.00010927,0.00043346,2.2545e-05,0,-9.219e-05,0.0045634,0.001917,0.00064709,0.00059917,0.0026111,-0.00098531,-0.006479,0.00025152,0,0,0,0.0034868,0,0,0
6.7572e-05,0.000108,0.0034088,7.5301e-05,0.0019134,0.0014202,0.00010063,0.00042404,1.9303e-05,0,-8.9741e-05,0.0044422,0.0017709,0.00057504,0.00058507,0.0024153,-0.00085142,-0.0059185,0.00027644,0,0,0,0.0031381,0,0,0
6.2519e-05,0.00010169,0.0031657,6.9199e-05,0.001799,0.0012976,9.1417e-05,0.00040582,1.6033e-05,0,-8.6895e-05,0.0043013,0.0016373,0.00050719,0.00056428,0.0022281,-0.00072979,-0.005382,0.00029715,0,0,0,0.0028243,0,0,0
5.6915e-05,9.4282e-05,0.0029195,6.331e-05,0.0016759,0.0011803,8.2156e-05,0.00038236,1.2848e-05,0,-8.3767e-05,0.0041465,0.0015146,0.00044428,0.00053925,0.002051,-0.00062048,-0.0048766,0.00031374,0,0,0,0.0025419,0,0,0
5.1124e-05,8.6367e-05,0.0026777,5.7719e-05,0.0015503,0.0010697,7.3191e-05,0.00035612,9.8257e-06,0,-8.0449e-05,0.0039822,0.0014017,0.00038666,0.00051177,0.0018846,-0.0005231,-0.0044059,0.00032642,0,0,0,0.0022877,0,0,0
4.5393e-05,7.8362e-05,0.0024453,5.2476e-05,0.0014263,0.00096644,6.4726e-05,0.00032881,7.0166e-06,0,-7.7012e-05,0.0038121,0.0012975,0.00033437,0.00048309,0.0017294,-0.00043698,-0.0039713,0.00033548,0,0,0,0.0020589,0,0,0
3.9884e-05,7.054e-05,0.0022251,4.7604e-05,0.0013068,0.00087074,5.6879e-05,0.00030157,4.4507e-06,0,-7.3515e-05,0.003639,0.0012012,0.00028731,0.00045412,0.0015851,-0.0003613,-0.0035727,0.00034123,0,0,0,0.001853,0,0,0
3.47e-05,6.3077e-05,0.002019,4.3107e-05,0.0011933,0.00078263,4.97e-05,0.00027515,2.1425e-06,0,-7.0003e-05,0.0034651,0.0011121,0.00024522,0.00042549,0.0014516,-0.00029517,-0.003209,0.000344,0,0,0,0.0016677,0,0,0
2.9899e-05,5.6079e-05,0.0018277,3.8979e-05,0.0010867,0.00070195,4.3201e-05,0.00025001,9.5114e-08,0,-6.6513e-05,0.0032924,0.0010296,0.00020781,0.00039761,0.0013285,-0.00023769,-0.0028785,0.00034412,0,0,0,0.0015009,0,0,0
2.5508e-05,4.9602e-05,0.0016512,3.5206e-05,0.00098765,0.00062839,3.7366e-05,0.00022642,-1.6965e-06,0,-6.3072e-05,0.0031221,0.00095316,0.00017471,0.00037077,0.001215,-0.00018798,-0.0025792,0.00034193,0,0,0,0.0013509,0,0,0
2.1535e-05,4.3667e-05,0.0014894,3.1768e-05,0.00089608,0.00056156,3.2161e-05,0.00020453,-3.2432e-06,0,-5.9704e-05,0.0029554,0.00088231,0.00014558,0.00034515,0.0011108,-0.00014519,-0.0023089,0.00033774,0,0,0,0.0012158,0,0,0
1.797e-05,3.8273e-05,0.0013416,2.8644e-05,0.00081191,0.00050104,2.7545e-05,0.00018435,-4.5592e-06,0,-5.6426e-05,0.0027931,0.00081662,0.00012004,0.00032084,0.0010151,-0.00010854,-0.0020652,0.00033185,0,0,0,0.0010942,0,0,0
1.4796e-05,3.3402e-05,0.001207,2.581e-05,0.00073485,0.00044638,2.3469e-05,0.00016588,-5.6615e-06,0,-5.3249e-05,0.0026358,0.00075571,9.7754e-05,0.0002979,0.00092736,-7.7313e-05,-0.0018459,0.00032454,0,0,0,0.00098477,0,0,0
1.199e-05,2.903e-05,0.0010849,2.3246e-05,0.00066453,0.00039713,1.9886e-05,0.00014904,-6.568e-06,0,-5.0184e-05,0.0024841,0.00069923,7.8385e-05,0.00027634,0.00084704,-5.0854e-05,-0.0016489,0.00031606,0,0,0,0.00088629,0,0,0
9.5244e-06,2.5123e-05,0.00097428,2.0927e-05,0.00060051,0.00035284,1.6748e-05,0.00013376,-7.2971e-06,0,-4.7237e-05,0.0023382,0.00064686,6.1623e-05,0.00025612,0.00077354,-2.8571e-05,-0.0014721,0.00030664,0,0,0,0.00079766,0,0,0
7.3722e-06,2.1646e-05,0.00087427,1.8833e-05,0.00054235,0.00031309,1.4008e-05,0.00011992,-7.867e-06,0,-4.4412e-05,0.0021984,0.0005983,4.718e-05,0.00023722,0.00070632,-9.9325e-06,-0.0013136,0.00029648,0,0,0,0.0007179,0,0,0
5.5046e-06,1.8564e-05,0.00078401,1.6944e-05,0.0004896,0.00027746,1.1625e-05,0.00010742,-8.2955e-06,0,-4.1712e-05,0.0020647,0.00055328,3.4794e-05,0.00021959,0.00064488,5.5343e-06,-0.0011716,0.00028577,0,0,0,0.00064611,0,0,0
3.8939e-06,1.5841e-05,0.00070265,1.524e-05,0.00044182,0.00024559,9.5572e-06,9.6159e-05,-8.5992e-06,0,-3.9137e-05,0.0019373,0.00051156,2.4225e-05,0.00020316,0.00058874,1.825e-05,-0.0010445,0.00027467,0,0,0,0.0005815,0,0,0
2.5137e-06,1.3443e-05,0.0006294,1.3705e-05,0.00039859,0.00021711,7.7694e-06,8.6024e-05,-8.7939e-06,0,-3.6688e-05,0.0018161,0.0004729,1.5256e-05,0.00018788,0.00053746,2.8587e-05,-0.00093078,0.00026331,0,0,0,0.00052335,0,0,0
1.3392e-06,1.1337e-05,0.00056351,1.2323e-05,0.00035949,0.0001917,6.2286e-06,7.6915e-05,-8.8942e-06,0,-3.4362e-05,0.0017009,0.00043708,7.692e-06,0.00017368,0.00049063,3.6875e-05,-0.00082912,0.00025183,0,0,0,0.00047101,0,0,0
3.4717e-07,9.4936e-06,0.0005043,1.1078e-05,0.00032418,0.00016905,4.905e-06,6.8737e-05,-8.9132e-06,0,-3.2158e-05,0.0015918,0.0004039,1.3578e-06,0.0001605,0.00044788,4.3401e-05,-0.00073826,0.00024032,0,0,0,0.00042391,0,0,0
-4.8354e-07,7.8847e-06,0.00045112,9.9582e-06,0.00029228,0.00014888,3.7723e-06,6.1402e-05,-8.8632e-06,0,-3.0072e-05,0.0014886,0.00037317,-3.9029e-06,0.00014828,0.00040885,4.842e-05,-0.00065709,0.00022888,0,0,0,0.00038152,0,0,0
-1.1724e-06,6.4846e-06,0.00040339,8.9504e-06,0.0002635,0.00013094,2.8065e-06,5.4828e-05,-8.7551e-06,0,-2.8101e-05,0.001391,0.00034473,-8.2296e-06,0.00013694,0.00037322,5.2154e-05,-0.00058462,0.00021757,0,0,0,0.00034337,0,0,0
-1.7369e-06,5.2701e-06,0.00036058,8.0439e-06,0.00023752,0.00011501,1.9868e-06,4.8939e-05,-8.5987e-06,0,-2.6242e-05,0.001299,0.00031839,-1.1746e-05,0.00012644,0.00034071,5.4797e-05,-0.00051993,0.00020647,0,0,0,0.00030903,0,0,0
-2.1929e-06,4.2198e-06,0.0003222,7.2285e-06,0.00021409,0.00010087,1.2944e-06,4.3667e-05,-8.4027e-06,0,-2.449e-05,0.0012123,0.00029402,-1.4561e-05,0.00011672,0.00031104,5.652e-05,-0.00046221,0.00019562,0,0,0,0.00027813,0,0,0
