piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.0009621,0.0021757,0.019145,0.00019045,0.0079767,0.010978,0.0068249,0.0017612,0.00085317,0,-4.1831e-05,0.0020706,0.0072565,0.0052204,0.0007749,0.0015331,0.0090806,0.0023279,0.0011016,0,0,0,0,0,0.01,0
0.00066175,0.00046034,0.013994,0.00011311,0.0055337,0.008347,-2.3772e-05,0.001054,0.00060873,0,-7.5269e-05,0.0037258,0.0066535,0.0039125,0.00047662,0.0010401,0.0090489,0.0037211,0.0018876,0,0,0,0,0,0.0085,0
0.00043738,0.00024545,0.010182,7.5169e-05,0.0037979,0.0063086,-0.00066604,0.00057037,0.00041951,0,-0.00010139,0.0050186,0.0060819,0.002898,0.00029655,0.0007257,0.0081628,0.004475,0.0024293,0,0,0,0,0,0.007225,0
0.00027037,0.00010023,0.0073406,4.9967e-05,0.0025651,0.0047256,-0.00066902,0.00024555,0.00027385,0,-0.00012121,0.0059998,0.0055469,0.002108,0.00019363,0.0005286,0.0072726,0.0047996,0.0027829,0,0,0,0,0,0.0061412,0
0.00014699,-8.4342e-08,0.005225,3.2347e-05,0.0016946,0.0034981,-0.00060743,3.2464e-05,0.00016259,0,-0.00013568,0.0067163,0.0050508,0.0014935,0.00014141,0.00041077,0.0064644,0.0048425,0.0029928,0,0,0,0,0,0.0052201,0
5.679e-05,-6.8178e-05,0.0036535,2.002e-05,0.0010848,0.0025487,-0.00054242,-0.00010262,7.8449e-05,0,-0.00014567,0.0072106,0.004594,0.0010165,0.00012159,0.00034578,0.0057428,0.0047069,0.0030941,0,0,0,0,0,0.0044371,0
-8.2167e-06,-0.00011287,0.0024904,1.1474e-05,0.00066206,0.0018168,-0.00048147,-0.00018381,1.5617e-05,0,-0.00015192,0.0075202,0.0041753,0.00064777,0.00012154,0.00031498,0.0051022,0.0044639,0.0031143,0,0,0,0,0,0.0037715,0
-5.4152e-05,-0.00014064,0.0016335,5.6282e-06,0.00037278,0.0012551,-0.00042588,-0.00022823,-3.0536e-05,0,-0.00015512,0.0076785,0.0037932,0.00036415,0.00013264,0.00030539,0.0045355,0.0041622,0.0030749,0,0,0,0,0,0.0032058,0
-8.57e-05,-0.00015626,0.0010063,1.7031e-06,0.00017832,0.00082628,-0.0003759,-0.00024798,-6.3691e-05,0,-0.00015584,0.0077139,0.0034453,0.00014757,0.0001491,0.00030804,0.0040354,0.0038344,0.0029926,0,0,0,0,0,0.0027249,0
-0.00010645,-0.00016327,0.000551,-8.6488e-07,5.0737e-05,0.00050113,-0.00033138,-0.00025159,-8.6768e-05,0,-0.00015457,0.0076512,0.0031292,-1.6207e-05,0.00016719,0.00031687,0.0035945,0.0035019,0.0028806,0,0,0,0,0,0.0023162,0
-0.00011914,-0.00016426,0.00022422,-2.4808e-06,-3.0062e-05,0.00025676,-0.00029199,-0.00024497,-0.00010208,0,-0.00015174,0.0075113,0.0028424,-0.00013842,0.00018455,0.00032791,0.003206,0.0031781,0.0027488,0,0,0,0,0,0.0019687,0
-0.00012587,-0.00016114,-6.7358e-06,-3.4355e-06,-7.8489e-05,7.5189e-05,-0.00025733,-0.00023221,-0.00011146,0,-0.00014772,0.0073119,0.0025824,-0.00022794,0.00019981,0.00033863,0.0028636,0.0028711,0.0026049,0,0,0,0,0,0.0016734,0
-0.00012824,-0.00015529,-0.00016646,-3.9367e-06,-0.00010483,-5.7699e-05,-0.00022692,-0.0002161,-0.00011634,0,-0.00014278,0.0070678,0.0023469,-0.00029181,0.00021225,0.00034752,0.0025617,0.0025855,0.0024547,0,0,0,0,0,0.0014224,0
-0.00012747,-0.00014773,-0.00027348,-4.1322e-06,-0.00011638,-0.00015297,-0.00020031,-0.0001985,-0.00011785,0,-0.0001372,0.0067913,0.0021335,-0.0003356,0.0002216,0.00035378,0.0022952,0.0023231,0.0023025,0,0,0,0,0,0.0012091,0
