piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.00037788,0.00038711,0.0088091,9.2623e-05,0.0036048,0.0051117,0.0027461,0.00048974,0.00036244,0,-2.4115e-05,0.0011937,0.0040213,0.0027027,0.0021713,0.0016077,0.0036537,0.00064735,0.00046798,0.01,0,0,0,0,0,0
0.0002682,0.0002386,0.0068317,6.2834e-05,0.0027527,0.0040162,5.0592e-07,0.00030359,0.00026344,0,-4.2949e-05,0.002126,0.0036461,0.0020994,0.0018363,0.0013498,0.0036543,0.0010486,0.00080814,0.0085,0,0,0,0,0,0
0.00018445,0.00015555,0.0053099,4.7681e-05,0.0021152,0.003147,-0.00025426,0.0001744,0.00018586,0,-5.7344e-05,0.0028385,0.0033036,0.0016181,0.0015679,0.0011552,0.003316,0.0012792,0.0010481,0.007225,0,0,0,0,0,0
0.0001206,9.6598e-05,0.0041261,3.6898e-05,0.0016342,0.002455,-0.00025465,8.6013e-05,0.00012533,0,-6.8033e-05,0.0033677,0.0029922,0.0012327,0.0013499,0.0010045,0.0029772,0.0013929,0.0012099,0.0061412,0,0,0,0,0,0
7.2183e-05,5.3283e-05,0.0032026,2.872e-05,0.0012696,0.0019043,-0.00023064,2.6574e-05,7.8395e-05,0,-7.5653e-05,0.0037448,0.0027098,0.00092439,0.0011712,0.00088597,0.0026704,0.001428,0.0013112,0.0052201,0,0,0,0,0,0
3.5751e-05,2.155e-05,0.0024808,2.2441e-05,0.00099208,0.0014663,-0.00020613,-1.2444e-05,4.2307e-05,0,-8.075e-05,0.0039971,0.0024541,0.00067817,0.0010232,0.00079121,0.0023961,0.0014115,0.0013658,0.0044371,0,0,0,0,0,0
8.6151e-06,-1.4423e-06,0.0019161,1.7593e-05,0.00077999,0.0011185,-0.00018365,-3.7163e-05,1.4837e-05,0,-8.3791e-05,0.0041477,0.002223,0.00048206,0.00089956,0.00071408,0.0021518,0.0013624,0.001385,0.0037715,0,0,0,0,0,0
-1.1321e-05,-1.7828e-05,0.0014737,1.3832e-05,0.00061713,0.00084278,-0.00016345,-5.1959e-05,-5.7998e-06,0,-8.5173e-05,0.0042161,0.0020143,0.00032644,0.00079533,0.00065009,0.0019343,0.0012937,0.0013775,0.0032058,0,0,0,0,0,0
-2.5691e-05,-2.9229e-05,0.0011271,1.0902e-05,0.00049145,0.00062476,-0.00014543,-5.9948e-05,-2.1038e-05,0,-8.5231e-05,0.0042189,0.0018258,0.00020356,0.00070669,0.00059595,0.0017408,0.0012145,0.0013503,0.0027249,0,0,0,0,0,0
-3.5771e-05,-3.688e-05,0.00085542,8.6092e-06,0.00039395,0.00045286,-0.00012943,-6.3339e-05,-3.2027e-05,0,-8.4246e-05,0.0041702,0.0016558,0.00010714,0.00063071,0.00054928,0.0015686,0.0011308,0.001309,0.0023162,0,0,0,0,0,0
-4.2558e-05,-4.172e-05,0.00064255,6.8075e-06,0.0003179,0.00031784,-0.00011529,-6.369e-05,-3.9688e-05,0,-8.2452e-05,0.0040814,0.0015023,3.2101e-05,0.00056506,0.00050833,0.0014152,0.0010466,0.0012577,0.0019687,0,0,0,0,0,0
-4.683e-05,-4.4469e-05,0.00047592,5.3859e-06,0.00025823,0.0002123,-0.0001028,-6.2092e-05,-4.4757e-05,0,-8.0046e-05,0.0039623,0.0013637,-2.5671e-05,0.00050794,0.00047181,0.0012784,0.00096451,0.0011999,0.0016734,0,0,0,0,0,0
