piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-0.0016445,-0.0019018,-0.060287,-0.00051093,-0.025344,-0.034432,-0.021684,-0.0026258,-0.0015091,0,0.0097964,0.015079,-0.021526,0.0012689,-0.018233,-0.030242,-0.028851,-0.0034709,-0.0019486,0,0.01,0,0,0,0,0
-0.00067985,-0.00056252,-0.037599,-0.00023682,-0.015473,-0.021889,0.004378,-0.00096273,-0.00064218,0,0.0075621,0.025677,-0.015338,0.0016442,-0.012133,-0.02016,-0.023026,-0.0047434,-0.0027778,0,0.008,0,0,0,0,0
-6.9044e-05,3.603e-05,-0.022108,-0.00012135,-0.0088578,-0.013129,0.0055141,1.0101e-05,-8.0455e-05,0,0.0058006,0.032872,-0.010477,0.0016202,-0.0077129,-0.012839,-0.01569,-0.0047301,-0.0028817,0,0.0064,0,0,0,0,0
0.0002973,0.00035924,-0.011635,-5.3976e-05,-0.004482,-0.0070988,0.0044129,0.00053289,0.00026489,0,0.0044142,0.037495,-0.0066876,0.0013805,-0.0045264,-0.0075496,-0.0098184,-0.0040257,-0.0025397,0,0.00512,0,0,0,0,0
0.00049635,0.0005213,-0.0047105,-1.3056e-05,-0.0016541,-0.0030433,0.0033409,0.00077057,0.00045887,0,0.0033255,0.040186,-0.0037611,0.0010327,-0.002252,-0.0037679,-0.0053733,-0.0030071,-0.0019472,0,0.004096,0,0,0,0,0
0.00058331,0.00058064,-0.0002808,1.0804e-05,0.00011198,-0.00040358,0.0024802,0.00083412,0.00054912,0,0.0024727,0.041439,-0.0015256,0.00064529,-0.00065079,-0.0011035,-0.0020734,-0.0019046,-0.0012381,0,0.0032768,0,0,0,0,0
0.00059745,0.00057569,0.0024144,2.3531e-05,0.0011584,0.0012324,0.001808,0.00079697,0.00057029,0,0.0018069,0.041632,0.00015888,0.00026118,0.0004552,0.00073625,0.00033219,-0.00085111,-0.00050177,0,0.0026214,0,0,0,0,0
0.00056641,0.00053266,0.0039212,2.9132e-05,0.0017246,0.0021674,0.001288,0.00070681,0.00054731,0,0.0012889,0.041055,0.001406,-9.4211e-05,0.0011986,0.0019705,0.0020459,8.3166e-05,0.00020492,0,0.0020972,0,0,0,0,0
0.00050938,0.00046926,0.0046295,3.0322e-05,0.0019771,0.002622,0.00088889,0.0005938,0.0004979,0,0.00088794,0.039933,0.0023078,-0.00040731,0.001678,0.0027632,0.0032286,0.00086806,0.00084782,0,0.0016777,0,0,0,0,0
0.00043943,0.00039721,0.0048155,2.892e-05,0.0020305,0.0027561,0.00058511,0.00047631,0.00043442,0,0.00057928,0.038435,0.0029385,-0.00067233,0.0019667,0.0032367,0.0040071,0.0014977,0.0014087,0,0.0013422,0,0,0,0,0
0.00036526,0.00032401,0.0046731,2.6125e-05,0.0019629,0.0026841,0.00035617,0.00036493,0.0003653,0,0.00034339,0.03669,0.003358,-0.00088851,0.0021189,0.0034818,0.004481,0.00198,0.0018804,0,0.0010737,0,0,0,0,0
0.00029244,0.00025427,0.0043366,2.2706e-05,0.0018269,0.002487,0.00018564,0.00026517,0.00029614,0,0.00016473,0.034795,0.0036141,-0.0010582,0.0021748,0.003566,0.004728,0.0023306,0.0022628,0,0.00085899,0,0,0,0,0
0.00022436,0.00019059,0.0038974,1.9144e-05,0.001657,0.0022213,6.0455e-05,0.00017934,0.00023048,0,3.0997e-05,0.032825,0.003745,-0.0011853,0.0021638,0.003539,0.0048084,0.0025676,0.0025604,0,0.00068719,0,0,0,0,0
0.0001629,0.00013425,0.0034167,1.5722e-05,0.0014754,0.0019256,-2.9745e-05,0.0001078,0.00017038,0,-6.7599e-05,0.030834,0.003781,-0.0012749,0.0021076,0.0034372,0.0047688,0.0027101,0.0027804,0,0.00054976,0,0,0,0,0
0.0001089,8.5637e-05,0.002934,1.2596e-05,0.001296,0.0016254,-9.3129e-05,4.9773e-05,0.00011693,0,-0.0001388,0.028861,0.0037464,-0.001332,0.002022,0.0032873,0.0046449,0.0027759,0.0029314,0,0.0004398,0,0,0,0,0
6.2527e-05,4.4601e-05,0.0024737,9.8371e-06,0.0011268,0.0013371,-0.00013611,3.9227e-06,7.0487e-05,0,-0.00018873,0.026934,0.0036601,-0.0013618,0.0019184,0.0031085,0.0044638,0.0027811,0.0030224,0,0.00035184,0,0,0,0,0
2.352e-05,1.0654e-05,0.0020499,7.4656e-06,0.00097203,0.0010704,-0.00016371,-3.1347e-05,3.0972e-05,0,-0.00022224,0.025074,0.0035369,-0.0013689,0.0018049,0.0029144,0.004246,0.0027396,0.0030624,0,0.00028147,0,0,0,0,0
-8.6429e-06,-1.6865e-05,0.0016694,5.4693e-06,0.00083355,0.00083039,-0.00017982,-5.7663e-05,-1.9844e-06,0,-0.00024315,0.023295,0.0033886,-0.0013576,0.0016873,0.0027148,0.0040067,0.0026634,0.0030598,0,0.00022518,0,0,0,0,0
-3.462e-05,-3.8693e-05,0.0013347,3.8188e-06,0.0007116,0.00061924,-0.00018747,-7.6564e-05,-2.8921e-05,0,-0.00025447,0.021603,0.0032241,-0.0013318,0.0015696,0.0025163,0.0037573,0.0025622,0.0030225,0,0.00018014,0,0,0,0,0
-5.5124e-05,-5.558e-05,0.0010449,2.4766e-06,0.00060546,0.00043691,-0.00018897,-8.9442e-05,-5.046e-05,0,-0.00025857,0.020005,0.0030504,-0.0012947,0.0014546,0.0023234,0.0035059,0.002444,0.0029573,0,0.00014412,0,0,0,0,0
