regime,variable,eps_a1,eps_a2,eps_a3,eps_pF,eps_D,eps_pX,eps_rp
float,piDC,0.07886190633,42.5780675,54.4298858,0.07557835317,0.3113297651,0.7270899328,1.799186746
float,PIC,0.165473103,34.44794802,33.91957072,0.9047746577,0.70145713,1.148611017,28.71216535
float,y_gap,0.01108923553,2.030879938,0.910883221,2.550693531,0.9832879253,0.9515652429,92.56160091
float,y_gap1,0.9121670875,34.84104879,48.98164661,0.4097181834,0.5144615577,0.6682631463,13.67269462
float,y_gap2,0.03726675421,40.51298754,37.98514316,0.4896896815,0.662445097,1.031557484,19.28091028
float,y_gap3,0.01228393969,27.15816997,23.65451512,1.461798209,0.4079755045,0.3873866166,46.91787064
float,PI1,75.95465842,12.04972317,9.408920195,0.05743202282,0.1493670776,0.268243852,2.111655266
float,PI2,0.06540774888,72.77799966,19.24566128,0.2480016874,0.41260972,0.7840201874,6.466299714
float,PI3,0.07537385268,38.19246698,59.42793567,0.05681760305,0.2789008994,0.6723310772,1.296173922
float,I,0.02570467942,20.22514507,29.46154065,1.401967089,0.07071195733,0.03432897128,48.78060158
float,BSTAR,0.003394468638,1.621497868,2.649266914,4.643586232,1.047705744,1.363768708,88.67078006
peg,piDC,0.0004386581051,2.477827714,26.38791906,16.96608745,1.843049489,2.775267186,49.54941045
peg,PIC,0.16719663,6.138295669,12.42621249,36.68957634,1.278206576,1.872500999,41.42801129
peg,y_gap,0.008146746733,2.692451259,4.961807023,10.2268498,2.057813401,2.57627372,77.47665805
peg,y_gap1,0.3621825439,17.88397349,11.39882638,9.590597188,2.448863991,2.975985556,55.33957085
peg,y_gap2,0.01162819861,7.329287525,2.305956214,9.102511284,1.92682208,2.427885412,76.89590929
peg,y_gap3,0.005048330185,1.751609576,9.256890262,10.55183677,2.030263915,2.534532953,73.8698182
peg,PI1,12.31693586,0.2088232311,1.751313109,6.724772562,0.9197391441,1.08437068,76.99404541
peg,PI2,0.006718138874,48.44879582,0.9667650069,15.07880635,0.8582746143,1.203105427,33.43753465
peg,PI3,0.0004590681088,0.09094528193,33.82882979,15.06559147,1.855362916,2.826578754,46.33223271
peg,I,0.0001288932976,0.06852814925,0.1230258186,0.1706245948,0.03869823335,0.05050500858,99.5484893
peg,BSTAR,0.002792164033,1.48449793,2.665059177,3.696172457,0.8383043749,1.094069832,90.21910406
managed,piDC,0.04179800078,26.5308007,64.97654372,5.164357859,0.0340511264,0.0382946448,3.214153946
managed,PIC,0.3070295616,22.92726445,21.08774158,7.483733826,0.6392194701,0.7628493165,46.79216179
managed,y_gap,0.08903031534,32.4615468,19.86385467,24.44629398,6.211510148,8.304150538,8.623613552
managed,y_gap1,1.001884698,43.63654555,48.59818351,2.019770491,1.168766152,1.54977935,2.025070254
managed,y_gap2,0.07219063419,53.85347673,28.23090707,5.839579318,2.405114814,3.56698601,6.031745421
managed,y_gap3,0.0126642139,25.28394289,46.63144788,16.85747624,3.080919345,3.764954498,4.368594939
managed,PI1,87.69896003,4.03099517,1.124916156,1.746008771,0.01734075108,0.01924453623,5.362534591
managed,PI2,0.04380690134,91.11706697,2.755281468,2.857491144,0.08129172801,0.1258042103,3.019257575
managed,PI3,0.03024306826,13.08391169,78.35250932,4.557817562,0.05892920159,0.07095376298,3.845635397
managed,I,0.004503099997,5.39776855,9.670245786,2.283935044,0.2287819365,0.1525726939,82.26219289
managed,BSTAR,0.003272869908,1.598028536,2.663331334,4.453079951,1.006860756,1.309429683,88.96599687
